year,N_TC_OA,N_H_OA,N_MH_OA,N_TC_CA,N_H_CA,N_MH_CA,N_TC_GM,N_H_GM,N_MH_GM,N_TC_NA,N_H_NA,N_MH_NA
1950,9,8,7,3,3,1,5,4,1,13,11,8
1951,8,6,3,3,3,2,3,1,1,10,8,5
1952,7,6,3,3,1,1,1,0,0,7,6,3
1953,11,5,3,6,1,0,5,1,1,14,6,4
1954,7,6,2,3,2,1,3,2,0,11,8,2
1955,9,7,4,4,3,3,5,3,1,12,9,6
1956,4,2,2,1,1,0,4,2,0,8,4,2
1957,4,2,1,0,0,0,5,1,1,8,3,2
1958,8,6,4,3,1,1,2,0,0,10,7,5
1959,8,6,2,2,0,0,5,2,0,11,7,2
1960,5,3,1,1,1,0,3,2,2,7,4,2
1961,8,5,4,4,3,2,2,1,1,11,8,7
1962,5,3,1,0,0,0,0,0,0,5,3,1
1963,8,6,2,3,2,1,1,1,0,9,7,2
1964,9,5,5,4,2,1,3,2,2,12,6,6
1965,4,4,1,0,0,0,3,1,1,6,4,1
1966,10,7,2,2,2,1,3,2,2,11,7,3
1967,6,4,0,1,1,1,2,2,1,8,6,1
1968,6,3,0,2,1,0,3,2,0,7,4,0
1969,13,8,3,3,3,2,3,2,1,17,12,5
1970,5,2,0,2,1,0,4,2,2,9,4,2
1971,8,3,0,4,2,1,2,2,0,13,6,1
1972,4,2,0,1,0,0,1,1,0,4,3,0
1973,6,3,1,2,0,0,2,1,0,7,4,1
1974,5,2,1,3,2,1,1,1,1,7,4,2
1975,7,5,1,1,1,0,2,2,2,8,6,3
1976,8,6,2,0,0,0,1,0,0,8,6,2
1977,3,3,0,1,0,0,2,2,1,6,5,1
1978,7,4,1,2,1,1,3,0,0,11,5,2
1979,5,3,1,3,1,1,5,3,1,8,5,2
1980,8,8,2,3,1,1,4,2,1,11,9,2
1981,10,6,3,3,1,0,1,0,0,11,7,3
1982,3,1,1,0,0,0,2,1,0,5,2,1
1983,3,1,0,0,0,0,2,2,1,4,3,1
1984,11,5,1,1,0,0,1,0,0,12,5,1
1985,8,4,1,3,1,0,5,4,2,11,7,3
1986,5,3,0,1,0,0,1,1,0,6,4,0
1987,6,3,0,2,1,1,2,1,0,7,3,1
1988,9,1,1,3,2,2,5,3,1,12,5,3
1989,7,5,2,2,1,1,3,2,0,11,7,2
1990,12,7,1,2,0,0,2,1,0,14,8,1
1991,8,4,2,1,0,0,0,0,0,8,4,2
1992,6,4,1,0,0,0,1,1,1,6,4,1
1993,5,3,1,3,0,0,2,1,0,8,4,1
1994,5,3,0,2,0,0,3,0,0,7,3,0
1995,14,8,3,5,3,2,6,4,1,19,11,5
1996,8,6,6,7,6,0,2,1,0,13,9,6
1997,7,2,1,0,0,0,1,1,0,7,3,1
1998,9,8,2,2,2,2,6,2,0,14,10,3
1999,10,7,3,4,2,1,3,2,1,12,8,5
2000,11,6,2,2,2,1,4,2,0,14,8,3
2001,10,8,2,5,2,2,3,0,0,15,9,4
2002,8,2,0,2,2,0,5,2,2,12,4,2
2003,10,5,3,2,1,0,6,2,0,16,7,3
2004,12,9,5,4,3,2,5,2,2,14,9,6
2005,17,9,2,8,4,4,11,7,5,27,15,7
2006,9,4,2,1,1,0,1,0,0,10,5,2
2007,9,3,0,4,2,2,5,3,0,14,6,2
2008,10,5,3,7,4,4,6,3,1,16,8,5
2009,7,2,2,2,1,0,2,1,0,9,3,2
2010,12,8,4,7,3,0,4,2,1,19,12,5
2011,13,5,3,4,1,1,5,1,0,19,7,4
2012,17,8,1,4,2,1,4,1,0,19,10,2
2013,8,1,0,1,0,0,5,1,0,13,2,0
2014,6,6,2,2,0,0,1,0,0,8,6,2
2015,9,4,2,1,0,0,1,0,0,11,4,2
2016,10,3,3,3,3,2,4,1,0,15,7,4
2017,11,6,5,6,2,2,7,5,2,17,10,6
2018,12,7,1,3,1,0,2,1,1,14,8,2
2019,11,5,3,2,0,0,5,1,0,16,6,3